,notes,principal_freq,slope,dur
1887,tickling,80.3253,98.4199,0.041499999999999204
1888,tickling,75.6256,316.1621,0.03509999999999991
1889,tickling,95.4842,174.8453,0.05109999999999104
1890,tickling,94.1597,-16.491,0.05760000000000787
1891,tickling,97.2025,195.4082,0.014300000000019963
1892,tickling,95.3259,-152.579,0.011199999999973898
1893,tickling,94.9847,-372.117,0.01120000000000232
1894,tickling,92.3566,545.366,0.03509999999999991
1895,tickling,107.0301,-222.221,0.02559999999999718
1896,tickling,91.5719,331.9935,0.02400000000000091
1897,tickling,96.5556,247.5135,0.03509999999999991
1898,tickling,90.0052,-276.3493,0.02559999999999718
1899,tickling,85.9501,598.5369,0.020799999999979946
1900,tickling,98.477,394.3645,0.04949999999999477
1901,tickling,87.4296,244.9817,0.025500000000022283
1902,tickling,88.4496,55.9502,0.04159999999998831
1903,tickling,88.5756,-1064.8993,0.043100000000009686
1904,tickling,60.2033,-41.0357,0.030399999999985994
1905,tickling,91.2647,175.592,0.02719999999999345
1906,tickling,105.0043,-973.4881,0.015899999999987813
1907,tickling,108.7976,336.1891,0.06229999999999336
1908,tickling,91.2635,215.6012,0.0367999999999995
1909,tickling,93.4401,558.8167,0.03190000000000737
1910,tickling,107.0984,362.7096,0.05109999999999104
1911,tickling,91.9862,-314.5016,0.014299999999991542
1912,tickling,99.684,-1.8776,0.03989999999998872
1913,tickling,89.3762,774.0907,0.028700000000014825
1914,tickling,85.012,375.8189,0.028799999999989723
1915,tickling,97.8108,216.4053,0.04630000000000223
1916,tickling,95.4228,365.7677,0.04800000000000182
1917,tickling,81.5748,261.5213,0.015999999999991132
1918,tickling,93.7439,615.1962,0.03190000000000737
1919,tickling,79.7001,310.8553,0.033499999999975216
1920,tickling,58.78,646.1128,0.02240000000000464
1921,tickling,85.6909,159.6817,0.04959999999999809
1922,tickling,95.1545,494.5635,0.043100000000009686
1923,tickling,76.5936,-43.1597,0.02389999999999759
1924,tickling,78.9577,67.7083,0.020799999999979946
1925,tickling,58.7834,-39.0816,0.006400000000013506
1926,tickling,60.0059,-57.9368,0.028700000000014825
1927,tickling,60.3185,-369.9062,0.05279999999999063
1928,tickling,85.0108,129.9353,0.03989999999998872
1929,tickling,58.1327,-1165.5378,0.043200000000013006
1930,tickling,58.4438,-926.5841,0.046399999999977126
1931,tickling,98.04,355.2755,0.04959999999999809
1932,tickling,88.616,214.0696,0.0478999999999985
1933,tickling,58.756,-757.1019,0.057499999999976126
1934,tickling,83.6071,73.7437,0.03360000000000696
1935,tickling,94.0664,422.6764,0.03520000000000323
1936,tickling,86.3841,-69.7948,0.0543999999999869
1937,tickling,93.6323,35.5133,0.03679999999997108
1938,tickling,95.8819,165.9502,0.04789999999997008
1939,tickling,82.824,-442.9252,0.01439999999996644
1940,tickling,105.7806,157.9475,0.04790000000002692
1941,tickling,95.6316,342.3479,0.033599999999978536
1942,tickling,59.3826,-744.5801,0.05109999999996262
1943,tickling,76.8547,-55.5189,0.019200000000012096
1944,tickling,77.3556,-192.3109,0.02390000000002601
1945,tickling,94.2313,276.5471,0.027100000000018554
1946,tickling,95.3049,124.4387,0.02719999999999345
1947,tickling,106.8935,245.3252,0.03350000000000364
1948,tickling,76.2568,718.9272,0.011200000000030741
1949,tickling,107.5435,203.1318,0.03350000000000364
1950,tickling,95.524,318.1508,0.033599999999978536
1951,tickling,66.5597,43.6626,0.041600000000016735
1952,tickling,67.1921,444.5,0.020799999999951524
1953,tickling,82.1939,438.1881,0.01439999999996644
1954,tickling,103.0038,226.0338,0.059199999999975716
1955,tickling,94.695,333.8596,0.044699999999977535
1956,tickling,85.3246,228.146,0.033599999999978536
1957,tickling,95.3167,317.2736,0.044699999999977535
1958,tickling,85.6406,-84.3112,0.03999999999996362
1959,tickling,86.4108,392.3611,0.03350000000000364
1960,tickling,83.1373,256.9914,0.014400000000023283
1961,tickling,93.7516,-632.8898,0.030399999999985994
1962,tickling,98.565,-172.3057,0.043099999999981264
1963,tickling,78.4767,43.7656,0.022399999999947795
1964,tickling,103.9836,452.617,0.04789999999997008
1965,tickling,94.7037,58.3308,0.011200000000030741
1966,tickling,88.8188,186.0212,0.054300000000012005
1967,tickling,80.3207,-550.0874,0.011099999999999
1968,tickling,93.876,-375.5674,0.05119999999999436
1969,tickling,91.7234,30.3429,0.03350000000000364
1970,tickling,90.0105,-514.762,0.017499999999984084
1971,tickling,98.4086,-505.8745,0.04640000000000555
1972,tickling,104.3477,431.8926,0.04959999999999809
1973,tickling,80.0104,-868.0861,0.014400000000023283
1974,tickling,62.7778,-700.0312,0.04789999999997008
1975,tickling,95.1606,-2.5052,0.04149999999998499
1976,tickling,74.4175,-860.6946,0.05119999999999436
1977,tickling,60.3173,-628.1754,0.04640000000000555
1978,tickling,84.7032,22.5015,0.014400000000023283
1979,tickling,85.6364,-469.2549,0.012799999999970169
1980,tickling,81.732,209.2437,0.02559999999999718
1981,tickling,81.8186,-150.314,0.025600000000054024
1982,tickling,92.8115,515.2808,0.044699999999977535
1983,tickling,109.2105,605.3959,0.04629999999997381
1984,tickling,96.5523,644.9364,0.04789999999997008
